"Longitude_Maxima","Latitude_Maxima","Daten_Maxima.Aktivität","Daten_Maxima.Zeitdauer_Transport","Daten_Maxima.Zeit_Auftreffen","Daten_Maxima.Freisetzung_Kraftwerk"
144.783168280829,39.4512642276482,646007473046.905,2,105,99
146.775110540568,40.7333102089636,794204030686.49,3,106,99
143.336935550447,39.6277449038427,78724327985.2517,1,104,99
144.964275421359,40.8756800493221,1233798386068.34,2,105,99
144.114753009752,39.3055623631479,85389447306.7428,1,104,99
145.742586268157,40.5404337842646,1227133266746.84,2,105,99
144.436935550447,38.5277449038427,30247366460.9935,1,104,99
145.866310712517,39.4586670047871,421026619372.959,2,105,99
147.845141787374,40.6720558569518,257353568664.184,3,106,99
144.114753009752,37.7499274445375,738052125279.709,1,104,99
145.374359710576,38.4409124746868,50695123657.0253,2,105,99
147.044807212552,39.4242346255749,449246328212.035,3,106,99
143.336935550447,37.4277449038427,437264300571.699,1,104,99
144.651882437343,38.1450025352103,299920628349.122,2,105,99
146.232191457784,39.0898592754749,575337785132.767,3,106,99
142.559118091141,39.3055623631479,774905102868.372,1,104,99
144.130367402755,40.4890498017713,200432275009.44,2,105,99
145.4902129666,42.5584029046793,84000854051.2546,3,106,99
142.236935550447,38.5277449038427,533275645523.235,1,104,99
143.408221341648,39.3634469694322,126842756991.615,2,105,99
144.887126527354,40.8980582884266,652404311538.738,3,106,99
142.559118091141,39.3055623631479,774905102868.372,1,104,99
144.130367402755,40.4890498017713,200432275009.44,2,105,99
145.4902129666,42.5584029046793,84000854051.2546,3,106,99
150.606038600551,45.3809802188083,33438007792.3866,2,109,99
150.994154849646,46.7885831064986,97849199015.6664,3,110,99
150.495638759276,45.4002607451716,9451163114.18434,1,108,99
151.645876279086,46.3190460302961,13312178146.0466,2,109,99
152.044536836659,45.3936084856923,1529878403.42455,2,109,99
152.685328146765,46.7710196548554,48292590560.4997,3,110,99
152.175212444656,44.7115916717136,3981789600.23959,2,109,99
152.501471691551,45.8603876645293,7704840678.69356,3,110,99
150.495638759276,43.2002607451716,5858339843.01683,1,108,99
151.278825986677,44.4586468701412,4390518927.56899,2,109,99
149.717821299971,45.0780782044768,3264905230.88382,1,108,99
149.909085956134,46.3411092092198,9163046058.85973,2,109,99
149.353281367163,45.3727065267119,26680987112.2603,2,109,99
149.717821299971,45.0780782044768,3264905230.88382,1,108,99
149.909085956134,46.3411092092198,9163046058.85973,2,109,99
153.334700820884,46.2882424634069,36695625487.8922,3,110,99
141.025689,37.316501,77827121542203.6,1,101,100
141.025689,37.316501,123772878457796,1,101,100
141.025689,37.316501,33479774921685.9,1,101,100
141.298155748674,37.5093226744513,1637264958834.52,2,102,100
141.983789006419,37.8760370354196,751626157624.949,3,103,100
143.142464782355,38.4294175022817,1152950300495.69,4,104,100
144.57376351812,39.3575817058606,520338585405.519,1,105,100
146.511522607729,40.657481443805,1615809387800.75,2,106,100
149.19141169911,43.176285828645,137339309167.706,4,108,100
144.57376351812,40.4575817058606,1042650747908.65,1,105,100
146.51498498513,42.0546085968101,44073936920.9257,2,106,100
147.838037542606,43.3424606778423,251113681306.321,2,106,100
145.351580977425,40.1353991651658,987316652785.679,1,105,100
147.475384852136,41.5334219883234,51125737699.5522,2,106,100
145.67376351812,39.3575817058606,361944473760.907,1,105,100
147.678041169977,40.6095811211417,352642810751.159,2,106,100
145.351580977425,38.5797642465554,118059797541.816,1,105,100
147.025252863896,39.5630863974435,1046213653880.05,2,106,100
150.466461056306,42.263621703418,51426461802.2688,4,108,100
144.57376351812,38.2575817058606,379345614934.649,1,105,100
146.270218153987,39.2753049975705,958492751201.248,2,106,100
143.795946058815,40.1353991651658,145751715180.867,1,105,100
145.697228975837,41.6261744312986,1192086650955.03,2,106,100
143.47376351812,39.3575817058606,217768039974.635,1,105,100
145.243691158365,40.6786737077711,1120070326161.26,2,106,100
143.795946058815,40.1353991651658,145751715180.867,1,105,100
145.697228975837,41.6261744312986,1192086650955.03,2,106,100
152.236080126291,44.6110322325111,4634303515.10124,1,109,100
152.561773977959,45.7598282253269,8967467853.75502,2,110,100
152.744020424105,46.9798940921658,111048444955.91,2,110,100
141.025689,37.316501,109726575830898,1,102,101
141.025689,37.316501,53473424169102,1,102,101
141.025689,37.316501,4.08e+13,1,102,101
141.025689,37.316501,8.64e+13,1,103,102
141.025689,37.316501,2.16e+13,1,103,102
141.025689,37.316501,8.64e+13,1,104,103
141.025689,37.316501,2.16e+13,1,104,103
141.025689,37.316501,8.64e+13,1,105,104
141.025689,37.316501,2.16e+13,1,105,104
141.025689,37.316501,1.264e+15,1,106,105
141.025689,37.316501,3.16e+14,1,106,105
141.025689,37.316501,5.52e+13,1,107,106
141.312416420592,37.7473727628385,1.38e+13,2,108,106
141.025689,37.316501,50074057432946.5,1,108,107
141.025689,37.316501,5125942567053.51,1,108,107
141.025689,37.316501,1.38e+13,1,108,107
141.025689,37.316501,53965255040029.4,1,109,108
141.025689,37.316501,1234744959970.65,1,109,108
141.025689,37.316501,1.38e+13,1,109,108
141.025689,37.316501,2.608e+15,1,110,109
141.025689,37.316501,6.52e+14,1,110,109
141.025689,37.316501,8.4e+14,1,111,110
141.025689,37.316501,2.1e+14,1,111,110
141.025689,37.316501,8.4e+14,1,112,111
141.025689,37.316501,2.1e+14,1,112,111
141.025689,37.316501,5.08e+15,1,113,112
141.025689,37.316501,1.27e+15,1,113,112
141.025689,37.316501,2.528e+15,1,114,113
141.025689,37.316501,6.32e+14,1,114,113
141.025689,37.316501,6.464e+15,1,115,114
141.13913267461,36.906214066373,1.616e+15,1,115,114
141.025689,37.316501,41923283654608.1,1,116,115
141.025689,37.316501,614876716345392,1,116,115
141.025689,37.316501,13767786066998,1,116,115
141.07396472038,36.9647105210193,150432213933002,1,116,115
141.025689,37.316501,84495715234566.7,1,117,116
141.025689,37.316501,419504284765433,1,117,116
141.025689,37.316501,32073828622413.6,1,117,116
141.009294231449,36.9883703773651,93926171377586.4,1,117,116
141.025689,37.316501,153601081373332,1,118,117
141.025689,37.316501,350398918626668,1,118,117
141.025689,37.316501,63774098623234.8,1,118,117
140.748290770994,37.0774940080174,62225901376765.2,1,118,117
141.025689,37.316501,185941312466432,1,119,118
141.025689,37.316501,318058687533568,1,119,118
141.025689,37.316501,79446211256202.5,1,119,118
140.32196300935,37.3904427827507,46553788743797.5,2,120,118
141.025689,37.316501,200325857397960,1,120,119
141.025689,37.316501,303674142602040,1,120,119
141.025689,37.316501,86554265759647,1,120,119
140.471865886256,37.4233923986433,39445734240353,2,121,119
141.025689,37.316501,203381040310504,1,121,120
141.025689,37.316501,300618959689496,1,121,120
141.025689,37.316501,88074046264233.2,1,121,120
140.621105476097,37.5543199472562,37925953735766.8,2,122,120
141.025689,37.316501,207264761622954,1,122,121
141.025689,37.316501,296735238377046,1,122,121
141.025689,37.316501,90010921278532,1,122,121
140.189137780292,37.9831595751938,11202347921217,3,124,121
